index	label	hemisphere
1	Middle_Cerebellar_Peduncle	bilateral
2	Pontine_Crossing_Tract	bilateral
3	Corpus_Callosum_Genu	bilateral
4	Body_of_corpus_callosum	bilateral
5	Corpus_Callosum_Splenium	bilateral
6	Fornix_Column+Body	bilateral
7	R_Corticospinal_Tract	right
8	L_Corticospinal_Tract	left
9	R_Medial_Lemniscus	right
10	L_Medial_Lemniscus	left
11	R_Inferior_Cerebellar_Peduncle	right
12	L_Inferior_Cerebellar_Peduncle	left
13	R_Superior_Cerebellar_Peduncle	right
14	L_Superior_Cerebellar_Peduncle	left
15	R_Cerebral_Peduncle	right
16	L_Cerebral_Peduncle	left
17	R_Internal_Capsule_Anterior_Limb	right
18	L_Internal_Capsule_Anterior_Limb	left
19	R_Internal_Capsule_Posterior_Limb	right
20	L_Internal_Capsule_Posterior_Limb	left
21	R_Internal_Capsule_Retrolenticular_Part	right
22	L_Internal_Capsule_Retrolenticular_Part	left
23	R_Anterior_Corona_Radiata	right
24	L_Anterior_Corona_Radiata	left
25	R_Superior_Corona_Radiata	right
26	L_Superior_Corona_Radiata	left
27	R_Posterior_Corona_Radiata	right
28	L_Posterior_Corona_Radiata	left
29	R_Posterior_Thalamic+Optic_Radiation	right
30	L_Posterior_Thalamic+Optic_Radiation	left
31	R_Sagittal_Stratum	right
32	L_Sagittal_Stratum	left
33	R_External_Capsule	right
34	L_External_Capsule	left
35	R_Cingulum_(Cingulate_Gyrus)	right
36	L_Cingulum_(Cingulate_Gyrus)	left
37	R_Cingulum_(Hippocampus)	right
38	L_Cingulum_(Hippocampus)	left
39	R_Fornix_(Cres)+Stria_Terminalis	right
40	L_Fornix_(Cres)+Stria_Terminalis	left
41	R_Superior_Longitudinal_Fasciculus	right
42	L_Superior_Longitudinal_Fasciculus	left
43	R_Superior_Fronto-occipital_Fasciculus	right
44	L_Superior_Fronto-occipital_Fasciculus	left
45	R_Uncinate_Fasciculus	right
46	L_Uncinate_Fasciculus	left
47	R_Tapetum	right
48	L_Tapetum	left
