index	label	hemisphere
1	L_Default_network_1	left
2	L_Somatomotor_hand_2	left
3	L_Somatomotor_mouth_3	left
4	L_Default_network_4	left
5	L_Visual_network_5	left
6	L_Default_network_6	left
7	L_FrontoParietal_network_7	left
8	L_Visual_network_8	left
9	L_FrontoParietal_network_9	left
10	L_Auditory_network_10	left
11	L_Unknown_11	left
12	L_CinguloParietal_12	left
13	L_RetrosplenialTemporal_13	left
14	L_RetrosplenialTemporal_14	left
15	L_Visual_network_15	left
16	L_Visual_network_16	left
17	L_Visual_network_17	left
18	L_Unknown_18	left
19	L_Unknown_19	left
20	L_Visual_network_20	left
21	L_Cingulo-opercular_network_21	left
22	L_Cingulo-opercular_network_22	left
23	L_Ventral_attention_23	left
24	L_FrontoParietal_network_24	left
25	L_Default_network_25	left
26	L_Default_network_26	left
27	L_Cingulo-opercular_network_27	left
28	L_Cingulo-opercular_network_28	left
29	L_Salience_29	left
30	L_Somatomotor_hand_30	left
31	L_Somatomotor_hand_31	left
32	L_Somatomotor_hand_32	left
33	L_Somatomotor_hand_33	left
34	L_Cingulo-opercular_network_34	left
35	L_Somatomotor_hand_35	left
36	L_Somatomotor_hand_36	left
37	L_Somatomotor_hand_37	left
38	L_Somatomotor_hand_38	left
39	L_Somatomotor_mouth_39	left
40	L_Cingulo-opercular_network_40	left
41	L_Dorsal_attention_41	left
42	L_Dorsal_attention_42	left
43	L_Dorsal_attention_43	left
44	L_Default_network_44	left
45	L_Somatomotor_hand_45	left
46	L_Somatomotor_hand_46	left
47	L_Somatomotor_hand_47	left
48	L_Somatomotor_hand_48	left
49	L_Dorsal_attention_49	left
50	L_Somatomotor_hand_50	left
51	L_Dorsal_attention_51	left
52	L_Dorsal_attention_52	left
53	L_Somatomotor_mouth_53	left
54	L_Somatomotor_hand_54	left
55	L_Dorsal_attention_55	left
56	L_Somatomotor_hand_56	left
57	L_Somatomotor_hand_57	left
58	L_Somatomotor_hand_58	left
59	L_Somatomotor_mouth_59	left
60	L_Ventral_attention_60	left
61	L_Ventral_attention_61	left
62	L_Ventral_attention_62	left
63	L_Cingulo-opercular_network_63	left
64	L_Auditory_network_64	left
65	L_Auditory_network_65	left
66	L_Auditory_network_66	left
67	L_Auditory_network_67	left
68	L_Auditory_network_68	left
69	L_Auditory_network_69	left
70	L_Auditory_network_70	left
71	L_Cingulo-opercular_network_71	left
72	L_Cingulo-opercular_network_72	left
73	L_Unknown_73	left
74	L_Dorsal_attention_74	left
75	L_Ventral_attention_75	left
76	L_Cingulo-opercular_network_76	left
77	L_Auditory_network_77	left
78	L_FrontoParietal_network_78	left
79	L_Ventral_attention_79	left
80	L_Ventral_attention_80	left
81	L_Cingulo-opercular_network_81	left
82	L_Cingulo-opercular_network_82	left
83	L_Salience_83	left
84	L_Cingulo-opercular_network_84	left
85	L_Ventral_attention_85	left
86	L_Ventral_attention_86	left
87	L_Dorsal_attention_87	left
88	L_Dorsal_attention_88	left
89	L_CinguloParietal_89	left
90	L_Visual_network_90	left
91	L_Dorsal_attention_91	left
92	L_Dorsal_attention_92	left
93	L_CinguloParietal_93	left
94	L_Default_network_94	left
95	L_Dorsal_attention_95	left
96	L_FrontoParietal_network_96	left
97	L_Visual_network_97	left
98	L_Visual_network_98	left
99	L_Visual_network_99	left
100	L_Dorsal_attention_100	left
101	L_Cingulo-opercular_network_101	left
102	L_Auditory_network_102	left
103	L_Cingulo-opercular_network_103	left
104	L_Auditory_network_104	left
105	L_Cingulo-opercular_network_105	left
106	L_Dorsal_attention_106	left
107	L_Dorsal_attention_107	left
108	L_FrontoParietal_network_108	left
109	L_FrontoParietal_network_109	left
110	L_Dorsal_attention_110	left
111	L_Cingulo-opercular_network_111	left
112	L_Cingulo-opercular_network_112	left
113	L_Dorsal_attention_113	left
114	L_Default_network_114	left
115	L_Unknown_115	left
116	L_Default_network_116	left
117	L_Default_network_117	left
118	L_Unknown_118	left
119	L_Unknown_119	left
120	L_Unknown_120	left
121	L_Unknown_121	left
122	L_Unknown_122	left
123	L_Unknown_123	left
124	L_Unknown_124	left
125	L_Unknown_125	left
126	L_Default_network_126	left
127	L_Default_network_127	left
128	L_Unknown_128	left
129	L_Unknown_129	left
130	L_RetrosplenialTemporal_130	left
131	L_Visual_network_131	left
132	L_Visual_network_132	left
133	L_Unknown_133	left
134	L_Unknown_134	left
135	L_Unknown_135	left
136	L_Visual_network_136	left
137	L_Visual_network_137	left
138	L_Visual_network_138	left
139	L_Visual_network_139	left
140	L_Visual_network_140	left
141	L_Visual_network_141	left
142	L_Unknown_142	left
143	L_RetrosplenialTemporal_14	left
144	L_Unknown_144	left
145	L_Default_network_145	left
146	L_Default_network_146	left
147	L_Cingulo-opercular_network_147	left
148	L_FrontoParietal_network_148	left
149	L_FrontoParietal_network_149	left
150	L_Default_network_150	left
151	L_Default_network_151	left
152	L_Default_network_152	left
153	L_Cingulo-opercular_network_153	left
154	L_Default_network_154	left
155	L_Dorsal_attention_155	left
156	L_Default_network_156	left
157	L_Default_network_157	left
158	L_Ventral_attention_158	left
159	L_Unknown_159	left
160	L_Auditory_network_160	left
161	L_Ventral_attention_161	left
162	R_Default_network_162	right
163	R_Somatomotor_hand_163	right
164	R_Somatomotor_mouth_164	right
165	R_Default_network_165	right
166	R_Visual_network_166	right
167	R_FrontoParietal_network_167	right
168	R_FrontoParietal_network_168	right
169	R_Visual_network_169	right
170	R_FrontoParietal_network_170	right
171	R_Auditory_network_171	right
172	R_Unknown_172	right
173	R_CinguloParietal_173	right
174	R_RetrosplenialTemporal_174	right
175	R_Visual_network_175	right
176	R_Visual_network_176	right
177	R_Visual_network_177	right
178	R_Unknown_178	right
179	R_Unknown_179	right
180	R_Cingulo-opercular_network_180	right
181	R_Cingulo-opercular_network_181	right
182	R_FrontoParietal_network_182	right
183	R_Salience_183	right
184	R_Default_network_184	right
185	R_Cingulo-opercular_network_185	right
186	R_Default_network_186	right
187	R_Cingulo-opercular_network_187	right
188	R_Cingulo-opercular_network_188	right
189	R_Dorsal_attention_189	right
190	R_Somatomotor_hand_190	right
191	R_Somatomotor_hand_191	right
192	R_Cingulo-opercular_network_192	right
193	R_Somatomotor_hand_193	right
194	R_Somatomotor_hand_194	right
195	R_Somatomotor_hand_195	right
196	R_Cingulo-opercular_network_196	right
197	R_Somatomotor_mouth_197	right
198	R_Cingulo-opercular_network_198	right
199	R_Dorsal_attention_199	right
200	R_Default_network_200	right
201	R_Somatomotor_hand_201	right
202	R_Somatomotor_hand_202	right
203	R_Dorsal_attention_203	right
204	R_Somatomotor_hand_204	right
205	R_Somatomotor_hand_205	right
206	R_Somatomotor_hand_206	right
207	R_Somatomotor_hand_207	right
208	R_Dorsal_attention_208	right
209	R_Somatomotor_hand_209	right
210	R_Somatomotor_hand_210	right
211	R_Dorsal_attention_211	right
212	R_Somatomotor_mouth_212	right
213	R_Somatomotor_hand_213	right
214	R_Somatomotor_hand_214	right
215	R_Somatomotor_hand_215	right
216	R_Somatomotor_hand_216	right
217	R_Somatomotor_hand_217	right
218	R_Somatomotor_mouth_218	right
219	R_Cingulo-opercular_network_219	right
220	R_Default_network_220	right
221	R_Ventral_attention_221	right
222	R_Ventral_attention_222	right
223	R_Cingulo-opercular_network_223	right
224	R_Auditory_network_224	right
225	R_Default_network_225	right
226	R_Ventral_attention_226	right
227	R_Auditory_network_227	right
228	R_Ventral_attention_228	right
229	R_Ventral_attention_229	right
230	R_Auditory_network_230	right
231	R_Ventral_attention_231	right
232	R_Auditory_network_232	right
233	R_Auditory_network_233	right
234	R_Cingulo-opercular_network_234	right
235	R_Cingulo-opercular_network_235	right
236	R_Dorsal_attention_236	right
237	R_Ventral_attention_237	right
238	R_Cingulo-opercular_network_238	right
239	R_Auditory_network_239	right
240	R_FrontoParietal_network_240	right
241	R_Ventral_attention_241	right
242	R_Ventral_attention_242	right
243	R_Ventral_attention_243	right
244	R_Auditory_network_244	right
245	R_Cingulo-opercular_network_245	right
246	R_Cingulo-opercular_network_246	right
247	R_Salience_247	right
248	R_Cingulo-opercular_network_248	right
249	R_Cingulo-opercular_network_249	right
250	R_Dorsal_attention_250	right
251	R_Visual_network_251	right
252	R_Dorsal_attention_252	right
253	R_Dorsal_attention_253	right
254	R_CinguloParietal_254	right
255	R_Visual_network_255	right
256	R_Visual_network_256	right
257	R_Default_network_257	right
258	R_Visual_network_258	right
259	R_Default_network_259	right
260	R_FrontoParietal_network_260	right
261	R_FrontoParietal_network_261	right
262	R_Dorsal_attention_262	right
263	R_Visual_network_263	right
264	R_Visual_network_264	right
265	R_Visual_network_265	right
266	R_Dorsal_attention_266	right
267	R_Visual_network_267	right
268	R_Auditory_network_268	right
269	R_Auditory_network_269	right
270	R_Somatomotor_hand_270	right
271	R_Dorsal_attention_271	right
272	R_FrontoParietal_network_272	right
273	R_FrontoParietal_network_273	right
274	R_Cingulo-opercular_network_274	right
275	R_Dorsal_attention_275	right
276	R_FrontoParietal_network_276	right
277	R_FrontoParietal_network_277	right
278	R_Default_network_278	right
279	R_Default_network_279	right
280	R_Unknown_280	right
281	R_Unknown_281	right
282	R_Unknown_282	right
283	R_Unknown_283	right
284	R_Unknown_284	right
285	R_Unknown_285	right
286	R_Unknown_286	right
287	R_Unknown_287	right
288	R_Unknown_288	right
289	R_Unknown_289	right
290	R_Default_network_290	right
291	R_Unknown_291	right
292	R_Unknown_292	right
293	R_Visual_network_293	right
294	R_RetrosplenialTemporal_294	right
295	R_RetrosplenialTemporal_295	right
296	R_Unknown_296	right
297	R_Unknown_297	right
298	R_Visual_network_298	right
299	R_Visual_network_299	right
300	R_Unknown_300	right
301	R_Unknown_301	right
302	R_Unknown_302	right
303	R_Unknown_303	right
304	R_Unknown_304	right
305	R_Unknown_305	right
306	R_Unknown_306	right
307	R_Visual_network_307	right
308	R_Visual_network_308	right
309	R_Visual_network_309	right
310	R_Visual_network_310	right
311	R_Visual_network_311	right
312	R_Unknown_312	right
313	R_RetrosplenialTemporal_313	right
314	R_Unknown_314	right
315	R_Default_network_315	right
316	R_Default_network_316	right
317	R_Cingulo-opercular_network_317	right
318	R_Cingulo-opercular_network_318	right
319	R_FrontoParietal_network_319	right
320	R_FrontoParietal_network_320	right
321	R_Default_network_321	right
322	R_Default_network_322	right
323	R_Default_network_323	right
324	R_Default_network_324	right
325	R_Default_network_325	right
326	R_Default_network_326	right
327	R_FrontoParietal_network_327	right
328	R_FrontoParietal_network_328	right
329	R_Auditory_network_329	right
330	R_Auditory_network_330	right
331	R_Default_network_331	right
332	R_Ventral_attention_332	right
333	R_Ventral_attention_333	right
